20056,Herschel 27,THETA AQL,THETA,,20 11.3,-00 49,AQL,,3.4,13,113.7,260,16,253,A0,1901,,h VI 27. A is a sp-bin.
20057,StruveO 370,V342 AQL,V342,,19 17.1, 09 21,AQL,AB,8.5,9.1,19.5,14,16,206,K0,1846,12259,b is the Algol-type system
20058,Burnham 287,ZETA AQL,ZETA,,19 05.4, 13 52,AQL,AB,3,12,6.5,53,16,206,A0,1934,12026,
20059,Herschel  2984,1 AQR,1,,20 39.4, 00 29,AQR,AB,5.4,11.5,59.7,221,16,254,K0,1924,14108,
20060,Struve 2729,4 AQR,4,,20 51.4,-05 37,AQR,AC,6,12.9,72.7,313,16,254,F2,1962,14360,P = 187 yr.- a = 0.86''- motion direct.
20061,Burnham 1034,7 AQR,7,,20 56.9,-09 41,AQR,AB,5.7,11.4,2.1,165,16,299,K2,1888,14449,
20062,Struve 2745,12 AQR,12,,21 04.1,-05 49,AQR,APxB,5.9,7.3,2.5,194,16/ 17,254/ 255,F5,1973,14592,
20063,Herschel  5517,18 AQR,18,,21 24.2,-12 52,AQR,,5.5,13,48.9,321,16/ 17,300,A5,1912,,
20064,,25 AQR,25,,21 39.6, 02 14,AQR,,5.3,11.6,132.6,46,16/ 17,255/ 256,K0,1911,,
20065,South 802,29 AQR,29,,22 02.5,-16 58,AQR,AB,7.2,7.4,3.7,244,17,301,A2,1847,15562,A is the Beta Lyrae-type system DX Aqr.
20066,,29AC AQR,29AC,,22 02.5,-16 58,AQR,AC,6.5,11.7,143,291,17,301,A2,1913,15562,
20067,Herschel 56,41 AQR,41,,22 14.3,-21 04,AQR,AB,5.7,7.2,5.1,113,23,347,G8,1823,15753,Y/B
20068,Burnham 172,51 AQR,51,,22 24.1,-04 50,AQR,AB,6.6,6.6,0.2,260,17,257,A0,1981,15902,
20069,South-Herschel 345,53 AQR,53,,22 26.5,-16 44,AQR,AB,6.4,6.6,2.9,337,17,302,G0,1982,15934,
20070,,60 AQR,60,,22 34.0,-01 34,AQR,AB,5.9,10.3,98.1,298,17,257,K0,1912,,
20071,RST 3320,89 AQR,89,,23 09.9,-22 27,AQR,,5.4,6.2,0.3,321,23,348/ 349,G2,1980,,Composite spectrum G2IV+A2.
20072,Struve 2998,94 AQR,94,,23 19.1,-13 27,AQR,APxB,5.1,7.5,12.6,350,17,304,G5,1981,16672,RW/B
20073,Herschel  5394,96 AQR,96,,23 19.4,-05 07,AQR,,5.7,10.6,10.6,20,17,259,F2,1958,16676,A is a sp-bin.
20074,Herschel  5413,104 AQR,104,,23 41.8,-17 48,AQR,AB,5.1,7.9,120.8,6,17,260/ 304,G0,1892,,A sp-bin.
20075,Herschel 24,107 AQR,107,,23 46.0,-18 40,AQR,,5.8,6.8,6.6,136,17,260/304/305/349,A5,1975,16979,W/B
20076,,ALPHA AQR,ALPHA,,22 05.7,-00 18,AQR,,3.2,12.2,113,41,17,256/ 257,G0,1907,,
20077,Herschel 76,BETA AQR,BETA,,21 31.6,-05 34,AQR,AB,3.1,11,35.4,319,16/ 17,255,G0,1879,15050,h V 76.
20078,Herschel  3106,GAMMA AQR,GAMMA,,22 21.6,-01 22,AQR,,4,12.2,37.4,140,17,257,A0,1959,15864,A is a sp-bin. b is optical.
